,Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2317,2010-08-04,7.43,7.43,7.43,7.43,-0.01175,,,0.0,,,
2318,2010-08-03,7.44175,7.44175,7.44175,7.44175,-0.02875,,,0.0,,,
2319,2010-08-02,7.4705,7.4705,7.4705,7.4705,0.0105,,,0.0,,,
2320,2010-07-30,7.46,7.46,7.46,7.46,-0.0285,,,0.0,,,
2321,2010-07-29,7.4885,7.4885,7.4885,7.4885,-0.03,,,0.0,,,
2322,2010-07-28,7.5185,7.5185,7.5185,7.5185,0.02025,,,0.0,,,
2323,2010-07-27,7.49825,7.49825,7.49825,7.49825,-0.0305,,,0.0,,,
2324,2010-07-26,7.52875,7.52875,7.52875,7.52875,-0.07575,,,0.0,,,
2325,2010-07-23,7.6045,7.6045,7.6045,7.6045,-0.0115,,,0.0,,,
2326,2010-07-22,7.616,7.616,7.616,7.616,-0.11475,,,0.0,,,
2327,2010-07-21,7.73075,7.73075,7.73075,7.73075,-0.022,,,0.0,,,
2328,2010-07-20,7.75275,7.75275,7.75275,7.75275,-0.08275,,,0.0,,,
2329,2010-07-19,7.8355,7.8355,7.8355,7.8355,0.053,,,0.0,,,
2330,2010-07-16,7.7825,7.7825,7.7825,7.7825,0.01075,,,0.0,,,
2331,2010-07-15,7.77175,7.77175,7.77175,7.77175,0.03225,,,0.0,,,
2332,2010-07-14,7.7395,7.7395,7.7395,7.7395,0.0065,,,0.0,,,
2333,2010-07-13,7.733,7.733,7.733,7.733,-0.07975,,,0.0,,,
2334,2010-07-12,7.81275,7.81275,7.81275,7.81275,0.03075,,,0.0,,,
2335,2010-07-09,7.782,7.782,7.782,7.782,0.017,,,0.0,,,
2336,2010-07-08,7.765,7.765,7.765,7.765,-0.05475,,,0.0,,,
2337,2010-07-07,7.81975,7.81975,7.81975,7.81975,-0.04925,,,0.0,,,
2338,2010-07-06,7.869,7.869,7.869,7.869,-0.08775,,,0.0,,,
2339,2010-07-05,7.95675,7.95675,7.95675,7.95675,-0.021,,,0.0,,,
2340,2010-07-02,7.97775,7.97775,7.97775,7.97775,-0.001,,,0.0,,,
2341,2010-07-01,7.97875,7.97875,7.97875,7.97875,0.1075,,,0.0,,,
2342,2010-06-30,7.87125,7.87125,7.87125,7.87125,-0.00925,,,0.0,,,
2343,2010-06-29,7.8805,7.8805,7.8805,7.8805,0.0975,,,0.0,,,
2344,2010-06-28,7.783,7.783,7.783,7.783,-0.0345,,,0.0,,,
2345,2010-06-25,7.8175,7.8175,7.8175,7.8175,0.00275,,,0.0,,,
2346,2010-06-24,7.81475,7.81475,7.81475,7.81475,0.06325,,,0.0,,,
2347,2010-06-23,7.7515,7.7515,7.7515,7.7515,-0.04425,,,0.0,,,
2348,2010-06-22,7.79575,7.79575,7.79575,7.79575,0.06125,,,0.0,,,
2349,2010-06-21,7.7345,7.7345,7.7345,7.7345,-0.02225,,,0.0,,,
2350,2010-06-18,7.75675,7.75675,7.75675,7.75675,-0.06875,,,0.0,,,
2351,2010-06-17,7.8255,7.8255,7.8255,7.8255,-0.00525,,,0.0,,,
2352,2010-06-16,7.83075,7.83075,7.83075,7.83075,0.01225,,,0.0,,,
2353,2010-06-15,7.71275,7.71275,7.71275,7.71275,-0.09125,,,1744.0,60.0,,
2354,2010-06-14,7.804,7.804,7.804,7.804,-0.0052,,,1730.0,21.0,,
2355,2010-06-11,7.8092,7.8092,7.8092,7.8092,-0.0123,,,1682.0,40.0,,
2356,2010-06-10,7.8215,7.8215,7.8215,7.8215,-0.06525,,,1646.0,44.0,,
2357,2010-06-09,7.88675,7.88675,7.88675,7.88675,-0.00375,,,1499.0,59.0,,
2358,2010-06-08,7.8905,7.8905,7.8905,7.8905,-0.0305,,4.0,1387.0,62.0,,
2359,2010-06-07,7.921,7.921,7.921,7.921,-0.00025,,200.0,334.0,853.0,,
2360,2010-06-04,7.92125,7.92125,7.92125,7.92125,0.0985,,,203.0,82.0,,
2361,2010-06-03,7.82275,7.82275,7.82275,7.82275,0.00225,,,170.0,,,
2362,2010-06-02,7.8205,7.8205,7.8205,7.8205,-0.015,,,5.0,165.0,,
2363,2010-06-01,7.8355,7.8355,7.8355,7.8355,0.02625,,,5.0,,,
2364,2010-05-31,7.80925,7.80925,7.80925,7.80925,0.0565,,,5.0,,,
2365,2010-05-28,7.75275,7.75275,7.75275,7.75275,0.05475,,,5.0,,,
2366,2010-05-27,7.698,7.698,7.698,7.698,-0.21575,,,5.0,,,
2367,2010-05-26,7.91375,7.91375,7.91375,7.91375,-0.157,,,0.0,5.0,,
2368,2010-05-25,8.07075,8.07075,8.07075,8.07075,0.111,,,0.0,,,
2369,2010-05-24,7.95975,7.95975,7.95975,7.95975,-0.08175,,,0.0,,,
2370,2010-05-21,8.0415,8.0415,8.0415,8.0415,-0.02875,,,0.0,,,
2371,2010-05-20,8.07025,8.07025,8.07025,8.07025,0.09175,,,0.0,,,
2372,2010-05-19,7.9785,7.9785,7.9785,7.9785,0.13325,,,0.0,,,
2373,2010-05-18,7.84525,7.84525,7.84525,7.84525,0.13225,,,0.0,,,
2374,2010-05-17,7.713,7.713,7.713,7.713,-0.02525,,,0.0,,,
2375,2010-05-14,7.73825,7.73825,7.73825,7.73825,0.0935,,,0.0,,,
2376,2010-05-13,7.64475,7.64475,7.64475,7.64475,-0.00375,,,0.0,,,
2377,2010-05-12,7.6485,7.6485,7.6485,7.6485,-0.01775,,,0.0,,,
2378,2010-05-11,7.66625,7.66625,7.66625,7.66625,0.015,,,0.0,,,
2379,2010-05-10,7.65125,7.65125,7.65125,7.65125,-0.216,,,0.0,,,
2380,2010-05-07,7.86725,7.86725,7.86725,7.86725,-0.2045,,,0.0,,,
2381,2010-05-06,8.07175,8.07175,8.07175,8.07175,0.24675,,,0.0,,,
2382,2010-05-05,7.825,7.825,7.825,7.825,0.07175,,,0.0,,,
2383,2010-05-04,7.75325,7.75325,7.75325,7.75325,0.16625,,,0.0,,,
2384,2010-05-03,7.587,7.587,7.587,7.587,0.02425,,,0.0,,,
2385,2010-04-30,7.56275,7.56275,7.56275,7.56275,0.01625,,,0.0,,,
2386,2010-04-29,7.5465,7.5465,7.5465,7.5465,-0.07175,,,0.0,,,
2387,2010-04-28,7.61825,7.61825,7.61825,7.61825,-0.02825,,,0.0,,,
2388,2010-04-27,7.6465,7.6465,7.6465,7.6465,0.12775,,,0.0,,,
2389,2010-04-26,7.51875,7.51875,7.51875,7.51875,-0.0755,,,0.0,,,
2390,2010-04-23,7.59425,7.59425,7.59425,7.59425,-0.06425,,,0.0,,,
2391,2010-04-22,7.6585,7.6585,7.6585,7.6585,0.05275,,,0.0,,,
2392,2010-04-21,7.60575,7.60575,7.60575,7.60575,0.0305,,,0.0,,,
2393,2010-04-20,7.57525,7.57525,7.57525,7.57525,-0.07325,,,0.0,,,
2394,2010-04-19,7.6485,7.6485,7.6485,7.6485,0.0665,,,0.0,,,
2395,2010-04-16,7.582,7.582,7.582,7.582,0.05375,,,0.0,,,
2396,2010-04-15,7.52825,7.52825,7.52825,7.52825,0.038,,,0.0,,,
2397,2010-04-14,7.49025,7.49025,7.49025,7.49025,-0.013,,,0.0,,,
2398,2010-04-13,7.50325,7.50325,7.50325,7.50325,0.03475,,,0.0,,,
2399,2010-04-12,7.4685,7.4685,7.4685,7.4685,0.02775,,,0.0,,,
2400,2010-04-09,7.44075,7.44075,7.44075,7.44075,-0.03125,,,0.0,,,
2401,2010-04-08,7.472,7.472,7.472,7.472,0.001,,,0.0,,,
2402,2010-04-07,7.471,7.471,7.471,7.471,0.0235,,,0.0,,,
2403,2010-04-06,7.4475,7.4475,7.4475,7.4475,-0.00175,,,0.0,,,
2404,2010-04-05,7.44925,7.44925,7.44925,7.44925,-0.01325,,,0.0,,,
2405,2010-04-02,7.4625,7.4625,7.4625,7.4625,0.0145,,,0.0,,,
2406,2010-04-01,7.448,7.448,7.448,7.448,-0.06375,,,0.0,,,
2407,2010-03-31,7.51175,7.51175,7.51175,7.51175,-0.09275,,,0.0,,,
2408,2010-03-30,7.6045,7.6045,7.6045,7.6045,-0.03625,,,0.0,,,
2409,2010-03-29,7.64075,7.64075,7.64075,7.64075,-0.04025,,,0.0,,,
2410,2010-03-26,7.681,7.681,7.681,7.681,-0.026,,,0.0,,,
2411,2010-03-25,7.707,7.707,7.707,7.707,0.0795,,,0.0,,,
2412,2010-03-24,7.6275,7.6275,7.6275,7.6275,0.046,,,0.0,,,
2413,2010-03-23,7.5815,7.5815,7.5815,7.5815,0.01025,,,0.0,,,
2414,2010-03-22,7.57125,7.57125,7.57125,7.57125,0.0105,,,0.0,,,
2415,2010-03-19,7.56075,7.56075,7.56075,7.56075,0.011,,,0.0,,,
2416,2010-03-18,7.54975,7.54975,7.54975,7.54975,0.01175,,,0.0,,,
2417,2010-03-17,7.538,7.538,7.538,7.538,-0.075,,,0.0,,,
2418,2010-03-16,7.48475,7.48475,7.48475,7.48475,-0.0565,,,7852.0,327.0,,
2419,2010-03-15,7.54125,7.54125,7.54125,7.54125,0.0055,,,7662.0,192.0,,
2420,2010-03-12,7.53575,7.53575,7.53575,7.53575,-0.023,,,7346.0,327.0,,
2421,2010-03-11,7.55875,7.55875,7.55875,7.55875,0.0155,,5.0,7181.0,189.0,,
2422,2010-03-10,7.54325,7.54325,7.54325,7.54325,0.01575,,,6765.0,352.0,,
2423,2010-03-09,7.5275,7.5275,7.5275,7.5275,0.00525,,,6720.0,42.0,,
2424,2010-03-08,7.52225,7.52225,7.52225,7.52225,-0.02625,,,3360.0,335.0,,
2425,2010-03-05,7.5485,7.5485,7.5485,7.5485,-0.0625,,,2478.0,471.0,,
2426,2010-03-04,7.611,7.611,7.611,7.611,-0.03575,,,1317.0,1127.0,,
2427,2010-03-03,7.64675,7.64675,7.64675,7.64675,-0.10825,,,629.0,729.0,,
2428,2010-03-02,7.755,7.755,7.755,7.755,-0.01525,,,339.0,291.0,,
2429,2010-03-01,7.77025,7.77025,7.77025,7.77025,-0.1085,,,289.0,51.0,,
2430,2010-02-26,7.87875,7.87875,7.87875,7.87875,-0.09575,,,289.0,,,
2431,2010-02-25,7.9745,7.9745,7.9745,7.9745,0.03975,,,289.0,,,
2432,2010-02-24,7.93475,7.93475,7.93475,7.93475,-0.0205,,,289.0,,,
2433,2010-02-23,7.95525,7.95525,7.95525,7.95525,0.083,,,50.0,239.0,,
2434,2010-02-22,7.87225,7.87225,7.87225,7.87225,0.05375,,,50.0,,,
2435,2010-02-19,7.8185,7.8185,7.8185,7.8185,0.076,,,50.0,,,
2436,2010-02-18,7.7425,7.7425,7.7425,7.7425,-0.03875,,,50.0,,,
2437,2010-02-17,7.78125,7.78125,7.78125,7.78125,-0.06875,,,50.0,,,
2438,2010-02-16,7.85,7.85,7.85,7.85,-0.065,,,50.0,,,
2439,2010-02-15,7.915,7.915,7.915,7.915,0.0235,,,50.0,,,
2440,2010-02-12,7.8915,7.8915,7.8915,7.8915,0.07325,,,50.0,,,
2441,2010-02-11,7.81825,7.81825,7.81825,7.81825,-0.126,,,50.0,,,
2442,2010-02-10,7.94425,7.94425,7.94425,7.94425,0.044,,,50.0,,,
2443,2010-02-09,7.90025,7.90025,7.90025,7.90025,-0.0085,,,50.0,,,
2444,2010-02-08,7.90875,7.90875,7.90875,7.90875,-0.06025,,,50.0,,,
2445,2010-02-05,7.969,7.969,7.969,7.969,0.0995,,,50.0,,,
2446,2010-02-04,7.8695,7.8695,7.8695,7.8695,0.1585,,,42.0,8.0,,
2447,2010-02-03,7.711,7.711,7.711,7.711,0.03175,,,29.0,13.0,,
2448,2010-02-02,7.67925,7.67925,7.67925,7.67925,0.00075,,,29.0,,,
2449,2010-02-01,7.6785,7.6785,7.6785,7.6785,-0.1315,,,29.0,,,
2450,2010-01-29,7.81,7.81,7.81,7.81,0.023,,,29.0,,,
2451,2010-01-28,7.787,7.787,7.787,7.787,-0.01475,,,29.0,,,
2452,2010-01-27,7.80175,7.80175,7.80175,7.80175,0.05075,,,29.0,,,
2453,2010-01-26,7.751,7.751,7.751,7.751,-0.019,,,29.0,,,
2454,2010-01-25,7.77,7.77,7.77,7.77,-0.04825,,,29.0,,,
2455,2010-01-22,7.81825,7.81825,7.81825,7.81825,0.01775,,,29.0,,,
2456,2010-01-21,7.8005,7.8005,7.8005,7.8005,0.07325,,,29.0,,,
2457,2010-01-20,7.72725,7.72725,7.72725,7.72725,0.11575,,,29.0,,,
2458,2010-01-19,7.6115,7.6115,7.6115,7.6115,0.013,,,29.0,,,
2459,2010-01-18,7.5985,7.5985,7.5985,7.5985,-0.03975,,,29.0,,,
2460,2010-01-15,7.63825,7.63825,7.63825,7.63825,0.03925,,,29.0,,,
2461,2010-01-14,7.599,7.599,7.599,7.599,-0.02975,,,29.0,,,
2462,2010-01-13,7.62875,7.62875,7.62875,7.62875,-0.027,,,29.0,,,
2463,2010-01-12,7.65575,7.65575,7.65575,7.65575,0.073,,,29.0,,,
2464,2010-01-11,7.58275,7.58275,7.58275,7.58275,0.01325,,,1.0,28.0,,
2465,2010-01-08,7.5695,7.5695,7.5695,7.5695,-0.05,,,0.0,1.0,,
2466,2010-01-07,7.6195,7.6195,7.6195,7.6195,0.1075,,,0.0,,,
2467,2010-01-06,7.512,7.512,7.512,7.512,-0.0265,,,0.0,,,
2468,2010-01-05,7.5385,7.5385,7.5385,7.5385,0.02725,,,0.0,,,
2469,2010-01-04,7.51125,7.51125,7.51125,7.51125,,,,0.0,,,
2470,2009-12-31,7.6245,7.6245,7.6245,7.6245,0.00875,,,0.0,,,
2471,2009-12-30,7.61575,7.61575,7.61575,7.61575,-0.0205,,,0.0,,,
2472,2009-12-29,7.63625,7.63625,7.63625,7.63625,-0.08825,,,0.0,,,
2473,2009-12-28,7.7245,7.7245,7.7245,7.7245,,,,0.0,,,
2474,2009-12-24,7.7705,7.7705,7.7705,7.7705,-0.077,,,0.0,,,
2475,2009-12-23,7.8475,7.8475,7.8475,7.8475,-0.1325,,,0.0,,,
2476,2009-12-22,7.98,7.98,7.98,7.98,-0.02225,,,0.0,,,
2477,2009-12-21,8.00225,8.00225,8.00225,8.00225,0.171,,,0.0,,,
2478,2009-12-18,7.83125,7.83125,7.83125,7.83125,0.0455,,,0.0,,,
2479,2009-12-17,7.78575,7.78575,7.78575,7.78575,0.11725,,,0.0,,,
2480,2009-12-16,7.6685,7.6685,7.6685,7.6685,-0.04,,,0.0,,,
2481,2009-12-15,7.5835,7.5835,7.5835,7.5835,0.04925,,,5928.0,764.0,,
2482,2009-12-14,7.53425,7.53425,7.53425,7.53425,-0.12875,,,5694.0,353.0,,
2483,2009-12-11,7.663,7.663,7.663,7.663,-0.01475,,,5706.0,233.0,,
2484,2009-12-10,7.67775,7.67775,7.67775,7.67775,-0.082,,,6012.0,547.0,,
2485,2009-12-09,7.75975,7.75975,7.75975,7.75975,0.04375,,,6250.0,390.0,,
2486,2009-12-08,7.716,7.716,7.716,7.716,0.10425,,,2769.0,443.0,,
2487,2009-12-07,7.61175,7.61175,7.61175,7.61175,0.0065,,,503.0,317.0,,
2488,2009-12-04,7.60525,7.60525,7.60525,7.60525,0.111,,,438.0,67.0,,
2489,2009-12-03,7.49425,7.49425,7.49425,7.49425,0.01525,,,388.0,50.0,,
2490,2009-12-02,7.479,7.479,7.479,7.479,0.01975,,,167.0,221.0,,
2491,2009-12-01,7.45925,7.45925,7.45925,7.45925,-0.1175,,,167.0,2.0,,
2492,2009-11-30,7.57675,7.57675,7.57675,7.57675,0.01175,,,167.0,,,
2493,2009-11-27,7.565,7.565,7.565,7.565,-0.088,,,167.0,,,
2494,2009-11-26,7.653,7.653,7.653,7.653,0.16425,,,167.0,,,
2495,2009-11-25,7.48875,7.48875,7.48875,7.48875,-0.13325,,,167.0,,,
2496,2009-11-24,7.622,7.622,7.622,7.622,-0.02725,,,167.0,,,
2497,2009-11-23,7.64925,7.64925,7.64925,7.64925,-0.1065,,,167.0,,,
2498,2009-11-20,7.75575,7.75575,7.75575,7.75575,0.058,,,167.0,,,
2499,2009-11-19,7.69775,7.69775,7.69775,7.69775,0.053,,,0.0,167.0,,
