Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
12/15/2017,Friday,,,,,0.5,1254.3,0,222
12/14/2017,Thursday,,,,,8.4,1253.8,0,222
12/13/2017,Wednesday,,,,,6.9,1245.4,0,222
12/12/2017,Tuesday,,,,,5.2,1238.5,0,222
12/11/2017,Monday,,,,,1.5,1243.7,0,222
12/8/2017,Friday,1252.3,1252.5,1251.2,1251.2,4.6,1245.2,8,225
12/7/2017,Thursday,,,,,13,1249.8,0,225
12/6/2017,Wednesday,1261.7,1265.7,1261.7,1261.7,1.2,1262.8,7,225
12/5/2017,Tuesday,1267.5,1267.5,1260.3,1260.3,12.7,1261.6,28,238
12/4/2017,Monday,1276.5,1276.5,1270.7,1273.5,4.5,1274.3,9,241
12/1/2017,Friday,1275,1282.6,1275,1282.6,5.6,1278.8,5,243
11/30/2017,Thursday,1280.5,1286.8,1267.8,1270,8.9,1273.2,23,246
11/29/2017,Wednesday,1293.5,1295.8,1276.5,1280.2,12.8,1282.1,846,1690
11/28/2017,Tuesday,1294.2,1297,1289.8,1293.2,0.5,1294.9,2853,2487
11/27/2017,Monday,1287.7,1298.9,1286.3,1294,7.1,1294.4,3598,3037
11/24/2017,Friday,1291.8,1293.1,1285.4,1288,4.9,1287.3,5041,3538
11/22/2017,Wednesday,1279.9,1294.5,1278.6,1292,10.5,1292.2,3547,4158
11/21/2017,Tuesday,1276.5,1284.5,1275.8,1279.9,6.4,1281.7,3425,4266
11/20/2017,Monday,1294.7,1295.1,1273.9,1276.4,21.2,1275.3,4185,3867
11/17/2017,Friday,1279.4,1297.4,1278.1,1294.5,18.3,1296.5,4069,4319
11/16/2017,Thursday,1277.3,1281.6,1275,1278.3,0.5,1278.2,2986,4308
11/15/2017,Wednesday,1280.7,1289.9,1276.5,1277.8,5.2,1277.7,4427,4231
11/14/2017,Tuesday,1278.5,1283.7,1269.9,1280.7,4,1282.9,4518,4424
11/13/2017,Monday,1275.1,1280.2,1274.4,1278.4,4.7,1278.9,2044,4438
11/10/2017,Friday,1285.7,1287.5,1273.6,1275.6,13.3,1274.2,3965,4135
11/9/2017,Thursday,1282.3,1289.3,1280.6,1285.8,3.8,1287.5,4174,4088
11/8/2017,Wednesday,1275.5,1288,1275.5,1282.1,7.9,1283.7,3988,4303
11/7/2017,Tuesday,1282.8,1282.9,1272.3,1275.8,5.8,1275.8,3939,4081
11/6/2017,Monday,1270.1,1283.9,1266.5,1282.7,12.4,1281.6,3713,4326
11/3/2017,Friday,1277.2,1281,1266,1270.2,8.9,1269.2,4770,4820
11/2/2017,Thursday,1275.5,1285,1274,1276.8,0.8,1278.1,5126,4913
11/1/2017,Wednesday,1272,1281.9,1268.7,1275.5,6.8,1277.3,5359,5103
10/31/2017,Tuesday,1277.7,1279,1268.3,1271.8,7.2,1270.5,2990,5003
10/30/2017,Monday,1273.6,1279.9,1266.2,1277.2,5.9,1277.7,3415,4982
10/27/2017,Friday,,,,,2.2,1268.5,0,100
10/26/2017,Thursday,,,,,9.1,1266.3,3,103
10/25/2017,Wednesday,,,,,0.4,1275.4,0,103
10/24/2017,Tuesday,,,,,2.7,1275,0,103
10/23/2017,Monday,,,,,0.3,1277.7,0,103
