Date,Settle,RelVal,,,,,14660,,,,,,100
42650,1248.9,1358.966797,110.07 ,27.11 ,1 ,4.20 ,420 ,22380 ,1 ,420 ,(5320),,
42643,1313.3,1331.852417,18.55 ,(21.50),(1),(64.40),6440 ,15940 ,1 ,(6440),1120 ,,
42636,1337.5,1353.357178,15.86 ,2.22 ,1 ,(24.20),(2420),18360 ,1 ,(2420),3540 ,,
42629,1306.2,1351.13501,44.94 ,6.25 ,1 ,31.30 ,3130 ,15230 ,1 ,3130 ,410 ,,
42622,1330.7,1344.887817,14.19 ,(24.89),(1),(24.50),2450 ,12780 ,1 ,(2450),2860 ,,
42615,1323.2,1369.781616,46.58 ,0.07 ,1 ,7.50 ,750 ,12030 ,1 ,750 ,2110 ,,
42608,1321.5,1369.708008,48.21 ,(3.95),(1),1.70 ,(170),12200 ,1 ,170 ,1940 ,,
42601,1340.4,1373.65332,33.25 ,(0.31),(1),(18.90),1890 ,10310 ,1 ,(1890),3830 ,,
42594,1335.8,1373.959351,38.16 ,24.17 ,1 ,4.60 ,460 ,9850 ,1 ,460 ,3370 ,,
42587,1336.4,1349.7854,13.39 ,(12.52),(1),(0.60),60 ,9790 ,1 ,(60),3430 ,,
42580,1349,1362.306885,13.31 ,(24.92),(1),(12.60),1260 ,8530 ,1 ,(1260),4690 ,,
42573,1323.4,1387.22522,63.83 ,19.79 ,1 ,25.60 ,2560 ,5970 ,1 ,2560 ,2130 ,,
42566,1327.4,1367.432251,40.03 ,43.82 ,1 ,(4.00),(400),6370 ,1 ,(400),2530 ,,
42559,1358.4,1323.612549,(34.79),14.79 ,1 ,(31.00),(3100),9470 ,(1),3100 ,(570),,
42552,1339,1308.824219,(30.18),14.27 ,1 ,19.40 ,1940 ,7530 ,(1),(1940),1370 ,,
42545,1320,1294.552246,(25.45),52.14 ,1 ,19.00 ,1900 ,5630 ,(1),(1900),3270 ,,
42538,1292.5,1242.415649,(50.08),14.47 ,1 ,27.50 ,2750 ,2880 ,(1),(2750),6020 ,,
42531,1273.4,1227.949829,(45.45),(38.25),(1),19.10 ,(1910),4790 ,(1),(1910),7930 ,,
42524,1240.1,1266.202759,26.10 ,(25.28),(1),33.30 ,(3330),8120 ,1 ,3330 ,4600 ,,
42517,1213.8,1291.479858,77.68 ,0.74 ,1 ,26.30 ,2630 ,5490 ,1 ,2630 ,1970 ,,
42510,1252.4,1290.739136,38.34 ,(1.51),(1),(38.60),3860 ,1630 ,1 ,(3860),5830 ,,
42503,1271.9,1292.244751,20.34 ,42.59 ,1 ,(19.50),(1950),3580 ,1 ,(1950),7780 ,,
42496,1292.9,1249.655396,(43.24),2.49 ,1 ,(21.00),(2100),5680 ,(1),2100 ,5680 ,,
42489,1289.2,1247.161133,(42.04),(3.95),(1),3.70 ,(370),6050 ,(1),(370),6050 ,,
42482,1228.7,1251.109131,22.41 ,1251.11 ,1 ,60.50 ,6050 ,0 ,1 ,6050 ,0 ,,
